leaid,lea_name,enrollment,urban_centric_locale,urm_pct,frl_pct,3rd_ela,6th_math,grad_comp
1800008,White River Valley School District,794,Rural distant,0.091939547,,,,
1800030,MSD Southwest Allen County Schls,7800,Suburb large,0.242564103,,,,
1800060,Adams Central Community Schools,1326,Rural distant,0.076168929,,,,
1800107,Tri-Township Cons School Corp,332,Rural distant,0.051204819,,,,
1800118,North Central Parke Comm Schl Corp,1181,Town distant,0.077900085,,,,
1800120,Alexandria Community School Corp,1534,Suburb small,0.119295958,,,,
1800150,Anderson Community School Corp,6470,City small,0.492426584,,,,
1800180,Argos Community Schools,645,Rural distant,0.085271318,,,,
1800210,Attica Consolidated School Corp,615,Town distant,0.086178862,,,,
1800212,Borden-Henryville School Corporation,1721,Rural fringe,0.075537478,,,,
1800213,Silver Creek School Corporation,2993,Suburb large,0.189442031,,,,
1800240,South Dearborn Community Sch Corp,1960,Rural fringe,0.055102041,,,,
1800270,Avon Community School Corp,10310,Suburb large,0.435014549,,,,
1800330,Barr-Reeve Community Schools Inc,995,Rural distant,0.033165829,,,,
1800360,Bartholomew Con School Corp,11691,City small,0.322983492,,,,
1800390,Batesville Community School Corp,2187,Rural fringe,0.086419753,,,,
1800420,Baugo Community Schools,1838,Suburb midsize,0.229053319,,,,
1800450,Beech Grove City Schools,2837,Suburb large,0.354952415,,,,
1800480,Benton Community School Corp,1619,Rural distant,0.149474985,,,,
1800570,Blackford County Schools,1552,Rural fringe,0.099871134,,,,
1800600,Bloomfield School District,854,Town distant,0.06557377,,,,
1800630,Monroe County Community Sch Corp,10613,City small,0.254404975,,,,
1800660,Blue River Valley Schools,636,Rural fringe,0.050314465,,,,
1800690,North Harrison Com School Corp,2157,Rural fringe,0.059805285,,,,
1800720,MSD Bluffton-Harrison,1802,Town distant,0.134295228,,,,
1800750,MSD Boone Township,1029,Rural fringe,0.159378037,,,,
1800840,Clay Community Schools,4014,Rural fringe,0.062032885,,,,
1800900,Bremen Public Schools,1479,Town distant,0.31913455,,,,
1800960,Brown County School Corporation,1693,Rural distant,0.06024808,,,,
1801020,Brownsburg Community School Corp,9799,Suburb large,0.32278804,,,,
1801050,Brownstown Cnt Com Sch Corp,1450,Town distant,0.049655172,,,,
1801060,C A Beard Memorial School Corp,1105,Rural fringe,0.053393665,,,,
1801170,Cannelton City Schools,239,Town distant,0.10041841,,,,
1801200,Carmel Clay Schools,16215,City small,0.304409497,,,,
1801230,Medora Community School Corp,161,Rural distant,0.068322981,,,,
1801290,Carroll Consolidated School Corp,1066,Rural distant,0.090056285,,,,
1801410,Caston School Corporation,745,Rural distant,0.088590604,,,,
1801440,Center Grove Community School Corp,9173,Suburb large,0.190123188,,,,
1801560,Centerville-Abington Com Schs,1790,Town distant,0.105586592,,,,
1801590,DeKalb Co Ctl United Sch Dist,3609,Town fringe,0.081740094,,,,
1801710,Central Noble Com School Corp,1175,Rural distant,0.053617021,,,,
1801740,Perry Central Com Schools Corp,1275,Rural remote,0.039215686,,,,
1801770,Randolph Central School Corp,1395,Town distant,0.094623656,,,,
1801890,Clark-Pleasant Community Sch Corp,6809,Suburb large,0.319723895,,,,
1801920,Clarksville Community School Corp,3129,Suburb large,0.363694471,,,,
1802040,Northwestern School Corp,1894,Rural fringe,0.10031679,,,,
1802130,Clinton Central School Corporation,868,Rural distant,0.09562212,,,,
1802160,Clinton Prairie School Corporation,1209,Rural fringe,0.090984285,,,,
1802190,South Central Com School Corp,945,Rural distant,0.111111111,,,,
1802220,Cloverdale Community Schools,1406,Rural distant,0.091749644,,,,
1802280,Whitley County Con Schools,3652,Rural fringe,0.092825849,,,,
1802400,Concord Community Schools,5235,Suburb midsize,0.594078319,,,,
1802430,Covington Community School Corp,858,Town fringe,0.088578089,,,,
1802440,Crawford County Community Sch Corp,1342,Rural distant,0.038748137,,,,
1802460,Crawfordsville Community Schools,2504,Town distant,0.268769968,,,,
1802490,Crown Point Community School Corp,8819,Suburb large,0.24503912,,,,
1802520,Culver Community Schools Corp,827,Rural distant,0.15719468,,,,
1802550,Danville Community School Corp,2557,Suburb large,0.106374658,,,,
1802610,Decatur County Community Schools,1824,Rural fringe,0.049890351,,,,
1802640,MSD Decatur Township,6681,City large,0.437958389,,,,
1802660,Delaware Community School Corp,2571,Rural fringe,0.09529366,,,,
1802700,Delphi Community School Corp,1429,Rural fringe,0.145556333,,,,
1802800,Duneland School Corporation,5831,Suburb large,0.222088836,,,,
1802830,Zionsville Community Schools,7784,Suburb large,0.193987667,,,,
1802850,East Allen County Schools,10126,Suburb large,0.392850089,,,,
1802880,School City of East Chicago,3378,Suburb large,0.980165779,,,,
1802910,Lake Station Community Schools,1154,Suburb large,0.617850953,,,,
1802940,East Gibson School Corporation,749,Town distant,0.065420561,,,,
1802970,East Noble School Corporation,3450,Town distant,0.095942029,,,,
1803000,East Washington School Corp,1416,Rural distant,0.064265537,,,,
1803030,Eastbrook Community Sch Corp,1634,Rural distant,0.085067319,,,,
1803060,DeKalb Co Eastern Com Sch Dist,1237,Rural fringe,0.06305578,,,,
1803090,Eastern Greene Schools,1098,Rural distant,0.055555556,,,,
1803120,Eastern Hancock Co Com Sch Corp,1161,Rural distant,0.045650301,,,,
1803150,Eastern Howard School Corporation,1566,Town fringe,0.087484036,,,,
1803180,Randolph Eastern School Corp,897,Town distant,0.381270903,,,,
1803210,Shelby Eastern Schools,1165,Rural distant,0.039484979,,,,
1803240,Edinburgh Community School Corp,849,Suburb small,0.126030624,,,,
1803270,Elkhart Community Schools,11659,City small,0.612402436,,,,
1803300,Elwood Community School Corp,1494,Town fringe,0.121151272,,,,
1803330,Eminence Community School Corp,318,Rural distant,0.050314465,,,,
1803450,Evansville Vanderburgh School Corp,21942,City midsize,0.332102817,,,,
1803480,Fairfield Community Schools,2171,Rural fringe,0.106863197,,,,
1803510,Fayette County School Corporation,3305,Town distant,0.056278366,,,,
1803570,Flat Rock-Hawcreek School Corp,967,Rural distant,0.071354705,,,,
1803630,Fort Wayne Community Schools,28778,City large,0.618840781,,,,
1803660,Community Schools of Frankfort,3055,Rural fringe,0.574140753,,,,
1803690,Franklin Community School Corp,4966,Suburb large,0.139548933,,,,
1803700,Franklin County Community Sch Corp,2098,Rural distant,0.025738799,,,,
1803720,Lanesville Community School Corp,742,Rural fringe,0.056603774,,,,
1803750,Franklin Township Com Sch Corp,11139,City large,0.386928809,,,,
1803780,Fremont Community Schools,982,Rural distant,0.056008147,,,,
1803810,Frontier School Corporation,675,Rural distant,0.059259259,,,,
1803840,Garrett-Keyser-Butler Com Sch Corp,1717,Town fringe,0.086779266,,,,
1803870,Gary Community School Corp,4374,City small,0.987654321,,,,
1803930,Goshen Community Schools,6364,City small,0.631992458,,,,